"Time","Location","Object","Participant","Means","Denoter"
"昨天下午1点多","101国道密云县庄头峪村附近路段上","依维柯车","","","相撞"
"","","","6人","","死亡"
"","","","3人","","重伤"
"","","","14人","","轻微伤"
"","","","","","事"
"","现场","","市领导","","赶往"
"","","","","","指挥"
"","医院","","","","前往"
"","","","伤者","","探望"
"","","","","","了解"
"","","事发客车","","","超载"
"","","","农用车司机","","带走"
"","","","","","讯问"
"7月24日","","","中新浙江网","","电"
"7月23日下午","104国道浙江省温岭市小溪岭樟树湾路段","","","","交通事故"
"","公路上","一辆过境大货车","","","侧翻"
"","","","","","死"
"","","","","","伤"
"","事故现场","","","","看到"
"","樟树湾的转弯处","大货车","","","翻倒"
"","车外","电工专用配电柜","","","撞出"
"","","三夹","","","抛撒"
"","公路挡护墙外的山坡上","","一个男子","","躺着"
"当场","","","","","死亡"
"","","驾驶室","","","撞击"
"","","","","","撞击"
"","","柴油","","","淌"
"","驾驶室里","","一个男子","","卡着"
"","","","","","事故"
"","104国道小溪岭路段","","","","堵车"
"5时10分左右","","","","","事故"
"","","","温岭市交警大队","","接到"
"","","","","","报警"
"","","","","","称"
"","樟树湾","一辆大货车","","","翻车"
"当场","","","一人","","死亡"
"","驾驶室内","","3人","","卡"
"","","","","","接到"
"","","","","","报警"
"","","警力","市交警大队大溪中队","","出动"
"","现场","","","","赶赴"
"同时","现场","","","","赶到"
"","","","市消防大队官兵","","救援"
"十几分钟后","","","多方救援人员","","救出"
"","医院","","","","送往"
"","","","","","救治"
"","","大货车","","","翻车"
"","","驾驶室","","","撞击"
"","","","","","撞击"
"","","下身","","","卡住"
"","","","","","救出"
"立即","","","医护人员","","输液"
"","","氧气","","","拿"
"","","","","","输氧"
"","公路挡护墙边","大货车","","","侧翻"
"40分钟后","现场","吊车","","","来到"
"这时","","大货车车头","","","吊起"
"","","","驾驶员","","拉出"
"","","","驾驶员","","死亡"
"晚上9时左右","","事故现场","","","清理"
"","104国道小溪岭段","","","","通车"
"8月12日上午11时许","八大处公园附近的实兴北街和八大处街交叉口","一辆水泥搅拌车","一骑自行车女孩","","卷进"
"","","","女孩","","身亡"
"昨天上午11时20分许","十字路口","一辆印有“北京恒坤”字样的水泥搅拌车","","","停"
"","后车轮下","一辆自行车","","","扭曲变形"
"正在","现场","","警察","","勘查"
"","地上","","一名40岁左右的男子","","坐"
"","","","","","痛哭"
"8月5日中午2点10分","重庆财富中心斜对面十字路口","","","","交通事故"
"","","","一人","","死亡"
"","路口中央","水泥罐车","","","翻"
"","","一辆白色蒙迪欧","","","压住"
"","","","","","了解"
"4月18日","","","澳大利亚新快网","","报道"
"","澳大利亚塔斯马尼亚公路上","另一辆汽车","两名中国游客","","碰撞"
"","","","一","","死"
"","","","一","","伤"
"","","","女子","","死亡"
"","","","","","报道"
"","塔斯马尼亚州","","","","游览"
"","","报道","警方","","接到"
"","Port Latta地区的Bass公路上","","","","赶至"
"","","大众斜背式汽车","两名中国人士","","驾驶"
"","","一辆现代送货面包车","","","撞上"
"","","","两名中国人","","重伤"
"","西北乡村医院","","他们","","送往"
"","","","","","治疗"
"17日下午","","","32岁的女性","","死于"
"","","","男子","","面临"
"","","","","","手术"
"","","","一名31岁的现代汽车司机","","轻伤"
"","","","","","出院"
"","","","澳大利亚中国使馆人员","","通知"
"","","","警方","","呼吁"
"","","","警方","","联系"
"昨日清晨７时许","新３１２国道锡沪路段","","","","交通事故"
"","","一辆卡车","","","追尾"
