"Time","Location","Object","Participant","Means","Denoter"
"5月12日","","","新华网上海","","电"
"12日15时45分","","","上海市政府新闻办","","称"
"刚刚","","消息","上海市地震局","","提供"
"","","","我国地震台网","","测定"
"5月12日14时28分","四川汶川县","","","","地震"
"","","建筑","","","有感"
"4月5日","","","中新网","","电"
"","云南昭通市防震减灾局","官方网站","","","消息"
"截至5日14时","云南昭通永善县","","","","地震"
"","","","21人","","受伤"
"","","民房","","","受损"
"","","","","","倒塌"
"","","6个乡镇","","","受损"
"目前","","电力","","","修复"
"","当地","帐篷","","","调拨"
"","","","2.1万人","","转移"
"4月5日6时40分","云南昭通永善县","","","","地震"
"","当地","","","","震感"
"","成都等四川多地","","","","震感"
"12月26日","昆明","","新华社","","电"
"26日","","","记者","","了解"
"","瑞丽","","","","地震"
"","","","19人","","受伤"
"","","","3人","","重伤"
"","","","16人","","轻伤"
"","","","","","报告"
"26日4时20分和5时25分","云南省德宏傣族景颇族自治州瑞丽市","","","","地震"
"","","","","","地震"
"","全市","","","","震感"
"","","","记者","","了解"
"","","","10512户49789人","","受灾"
"目前","","","灾区群众2919户9496人","","转移安置"
"","","","","","地震"
"","","房屋","","","倒塌"
"","","2769户9626间","","","重损"
"","","2440户7750间","","","中损"
"","","5406户17406间","","","轻损"
"","","32所中小学校","","","损坏"
"","","卫生","","","损坏"
"目前","","","医疗卫生部门","","救治"
"","","","各受伤人员","","医治"
"","","","民政部门","","核查"
"","","救灾物资","","","调运"
"","","","","","发放"
"26日","","专项应急经费30万元","州、市党委政府","","安排"
"8月20日","昆明","","新华网","","电"
"20日早晨","云南省盈江县","","","","地震"
"","","","云南省地震局","","派出"
"当日7时许","昆明","","","","赶赴"
"","","救援","","","指挥"
"北京时间8月20日5时35分","云南省德宏傣族景颇族自治州盈江县","","","","地震"
"1月28日","","","中新网昆明","","电"
"","","","云南省西双版纳傣族自治州委宣传部","","证实"
"28日20时01分","该州景洪市","","","","地震"
"","","","西双版纳州委宣传部副部长段金华","","说"
"目前","","","","","报告"
"１０月１１日","","","新华社莫斯科","","电"
"１１日","俄罗斯南方５个地区","","","","地震"
"","","","１２人","","死亡"
"","","","俄塔社","","说"
"","","","","","地震"
"","该共和国","","１２人","","死亡"
"","","","当地医院","","接收"
"","","","数据","","显示"
"","","","","","地震"
"","","该地区部分医院","","","倒塌"
"","","山区多条道路","","","损毁"
"当日","达吉斯坦","","","","地震"
"目前","","","","","救援"
"5月12日","","","新华网呼和浩特","","电"
"14时30分左右","内蒙古自治区一些地区","","","","震感"
"","","","一些群众","","咨询"
"当时","","","许多单位工作人员","","感觉"
"","","桌椅","","","晃动"
"","","","","","看"
"","","灯管","","","摆动"
"","办公室","","","","跑"
"随后","","","一些市民","","了解"
"","","电话","一部分市民","","拨打"
"14时40分左右","现场","","记者","","看到"
"","院内","","一些事业机关工作人员","","站"
"","","","亲戚朋友","","询问"
"","店外","","一些商店工作人员","","跑"
"","","","大家","","议论"
"","","","记者","","获悉"
"","内蒙古包头","","群众","","震感"
"１月１９日","","","新华社惠灵顿","","电"
"","","","美国地质勘探局","","报告"
"１９日","新喀里多尼亚附近海域","","","","地震"
"目前","","","","","报告"
"北京时间１１时３５分","洛亚蒂群岛附近","","","","地震"
"","","太平洋海啸预警中心","","","发布"
"5月27日","雅加达","","新华网","","电"
"27日早晨","印度尼西亚中爪哇省日惹市附近","","","","地震"
"","","","至少443人","","死亡"
"","","","约2800人","","受伤"
"当地时间早5时53分","","","","","地震"
"","","","美国地震监测部门","","报告"
"","","","努格罗霍","","说"
"目前","","","该医院","","接收"
"","医院","","1000多人","","治疗"
"","","","几家医院","","接收"
"","","","工作人员","","说"
"","","","房屋的局部或整体","","倒塌"
"","","","印尼红十字会","","说"
"","","","","","地震"
"","","","443人","","死亡"
"","日惹南部地区","电力系统","","","瘫痪"
"","","电话","","","中断"
"","","机场跑道","","","被毁"
"","","","苏西洛","","下令"
"","","","军队","","协助"
"","","","","","撤离"
"每年","印尼","","","","地震"
"2004年12月26日","印尼苏门答腊岛附近海域","","","","地震"
"","印度洋沿岸十几个国家","","","","海啸"
"","","","20余万人","","死亡或失踪"
"5月27日","","","中新网","","电"
"","","","美联社","","报道"
"27日早晨","印尼中爪哇省日惹市附近","","","","强震"
"","","","至少309人","","死亡"
"","","","数百人","","受伤"
"","","大批房屋","","","夷为平地"
"","","","库斯马万托","","接受采访"
"","","","","","说"
"","","","中央政府","","告诉"
"","","","","","提供援助"
"","","","大量人员","","伤亡"
"","","房屋","","","夷为平地"
"","","","苏班迪","","说"
"","","","我们","","淹没"
"5月27日","","","印度尼西亚官员","","表示"
"当天","爪哇省","","","","地震"
"","","一些建筑","","","倒塌"
"","","","至少51人","","死亡"
"","","","美联社","","报道"
"","","","美国地质勘测机构","","称"
"凌晨5点54分左右","","","","","地震"
"","","","医院方面","","称"
"","","","51人","","死亡"
"","医院","","数十名伤员","","送往"
"","","","","","治疗"
"","","","印尼警方","","表示"
"目前","","电力和通讯系统","","","瘫痪"
"5月27日","","","中新网","","电"
"","","","《读卖新闻》","","报道"
"当地时间27日上午6时左右","印度尼西亚爪哇省日惹周边地区","","","","地震"
"","人口密集地区","","","","地震"
"目前","","","突破300人","","死亡"
"","","","超过数百","","受伤"
"","","","印尼当地媒体","","报道"
"","印尼许多城市","","","","震动"
"","印尼北部沿海地区","","","","震感"
"","爪哇岛中部","许多房屋建筑","","","倒塌"
"","当地","两个大型综合商业设施","","","倒塌"
"","","日惹机场","","","破坏"
"","","机场塔台","","","受损"
"","","机场","","","关闭"
"","","","日本驻印尼雅加达大使馆","","报道"
"","","","","","地震"
"","日惹","","91名日本人","","停留"
"目前","","消息","","","收到"
"19日","","","印度媒体","","报道"
"18日18时10分","印度北部锡金邦","","","","地震"
"截至北京时间19日晚些时候","印度、尼泊尔","","至少56人","","死亡"
"","","","200多人","","受伤"
"","","报道","","","说"
"目前","","","7人","","死亡"
"","","","23人","","受伤"
"","我国西藏自治区","地震应急预案二级响应","","","启动"
"9月19日10时30分","","国家四级救灾应急响应","国家减灾委、民政部","","启动"
"","","","工作组","","派"
"","灾区","","","","赴"
"","","救灾工作","","","协助开展"
"","","","印度媒体","","报道"
"","锡金邦首府甘托克周边地区","山体","","","滑坡"
"","","房屋","","","倒塌"
"","印度、尼泊尔","","56人","","死亡"
"","","","至少200人","","受伤"
"","","电","","","断"
"","甘托克","一片黑暗","","","陷入"
"","","手机信号和网络","","","中断"
"","","","","","地震"
"","","","","","余震"
"5月12日","","","人民网重庆","","电"
"今日下午14：30分左右","重庆","","","","震动"
"","","","中国国家地震台网","","测定"
"北京时间2008年5月12日14时28分","四川汶川县","","","","地震"
"14：30","重庆市渝中区上清寺牛角沱鑫隆达附近","建筑","","","震动"
"","","","市民","","下楼"
"","地势空旷的地带","","","","撤离"
"","","通信信号","","","中断"
"与此同时","重庆沙坪坝区","","","","震动"
"","","","记者","","获悉"
"","四川汶川","","","","地震"
"","甘肃中东部地区","","","","有感"
"","庆阳市宁县中村乡","","一位农民","","说"
"","","地面","","","摇动"
"","","桶水","","","泼洒"
"","空旷处","群众","","","离家"
"","","","","","躲避"
"","西峰区","","","","震感"
"","大街上","","群众","","离家"
"","","","","","躲避"
"","","情况","甘肃省地震局","","了解"
"12月23日","","","新华社北京","","电"
"","","","国家地震台网","","测定"
"12月23日8时4分","台湾省高雄县","","","","地震"
"","","美国地质勘探局地震信息网","","","消息"
"当地时间7日15时37分","哥伦比亚东北部桑坦德省","","","","地震"
"目前","","","","","报道"
"","","美国地质勘探局地震信息网数据","","","显示"
"","","","哥伦比亚媒体","","报道说"
"","","","洛斯桑托斯市市长卡洛斯・托拉","","采访"
"","","","","","说"
"20秒左右","","","","","地震"
"","街上","","很多市民","","跑"
"目前","","","哥伦比亚防灾部门","","组织"
"","","情况","","","调查"
"１月９日","","","新华社圣何塞","","电"
"９日","","","哥斯达黎加红十字会","","证实"
"８日","","","","","地震"
"","","","６人","","死亡"
"","","","９１人","","受伤"
"","","","４２人","","失踪"
