"Time","Location","Object","Participant","Means","Denoter"
"","","","新华社","","电"
"4月7日凌晨5时","兰州创意国际商贸城施工工地","兰州军区五里铺干休所的军民共建项目","不明身份人员与近百名社会人员","棍棒、器械","袭击"
"","","","70余名农民工","","受伤"
"","重症监护室","","3人","","抢救"
"","","财物损失","","","统计"
"","","","警方","","刑拘"
"","","","法人代表李某","","告诉"
"当日凌晨5时左右","施工现场","","一伙身着配有肩章、臂章制式服装，并头戴钢盔的男子","","进入"
"","","","门卫","","以为"
"","","","这伙人","","殴打"
"","工地","","","","进入"
"","","","这些人","","驱离"
"","","","多人","","受伤"
"","","","甘肃省兰州市公安局与城关区分局","","成立"
"","","此次暴力事件","","","调查"
"","","","","","称"
"","","","李某、薛某、张某","","扰乱"
"","","","","","拘留"
"","","","","","侦查"
"","","","","","追捕"
"4月8日","","","巴西当地媒体","","报道"
"日前","","巴西联邦监狱系统","","","发现"
"","","桥梁","犯罪分子","","炸毁"
"","","世界杯","","","破坏"
"","","","","","报道"
"去年9月","","巴西联邦监狱系统","犯罪集团“首都第一司令部”服刑人员","","监听"
"","","","","","发现"
"","","","两名犯人","","讨论"
"","蒂巴和圣保罗两座城市间116号国道上","一座桥梁","","","炸毁"
"","","内容","巴西司法部","","汇报"
"","库里蒂巴所在的帕拉纳州","","司法部","","通知"
"","","巴西联邦监狱系统","","","强调"
"","监狱中","非正常行为","他们","","监控"
"","","准备","帕拉纳州警方","","做好"
"","","","","","保证"
"","库里蒂巴","世界杯","","","举行"
"6月10日晚11时","山东济南的中铁十四局办公大楼","","记者","","看到"
"","","办公楼的大门","","","紧闭"
"","院子的围栏上","布幅","","","悬挂"
"阿富汗当地时间6月10日凌晨","中国中铁十四局集团公司援建阿富汗的公路建设项目盖劳盖尔工地","","一伙武装分子","","袭击"
"","","","11名中国工人","","死亡"
"","","","4名工人","","受伤"
"４月１日","","","新华网巴格达","","电"
"１日","","","联合国伊拉克援助团","","说"
"今年３月","伊拉克境内","","","","恐怖袭击"
"","","","","","暴力冲突"
"","","","５９２人","","死亡"
