"Time","Location","Object","Participant","Means","Denoter"
"4月15日上午十点左右","闹市区的一栋老式别墅","","","","火灾"
"","","","一名60岁的妇女","","逃生"
"","","","","","坠伤"
"","","腿部","","","受伤"
"","","","","","送医"
"","","","","","救治"
"","","","","","生命危险"
"","","","","","火灾"
"","","","多位热心市民","","援手相助"
"","小区内一栋老式洋房的三楼","","","","起火"
"","现场","","","","浓烟滚滚"
"","","","","","焦糊味"
"","","","","","失火"
"","","","楼内居民","","报警"
"","","","","","自救"
"","","","","","初查"
"","","","","","火灾"
"","","电器","","","使用不当"
"","","具体原因","","","调查"
"","","","中新社","","电"
"","","","网友","","爆料"
"6日凌晨","丽江束河古镇","","","","火灾"
"","四方街往完小方向","","","","起火"
"凌晨4点20","","火情","","","发现"
"6点多","","","","","完全控制"
"4月30日","昆明","","新华网","","电"
"","","","记者","","获悉"
"16个小时","","","1120名专业扑火队员","","扑救"
"","大理市下关镇温泉村委会南面山坡","","","","森林火灾"
"30日8时10分","","明火","","","扑灭"
"","","余火","","","清理"
"","","直升机","森防部门","","调派"
"","","余火","","","清理"
"29日15时50分","大理市下关镇温泉村委会南面山坡","","","","森林火灾"
"","","","大理市森林公安局","","调查"
"","","","","","起火"
"","","杂草","村民","","烧"
"","","案件","","","调查"
"３月３１日","莫斯科","","新华网","","电"
"３月３１日","俄罗斯西伯利亚西部秋明州一座私人住宅","天然气罐","","","爆炸"
"","","","","","起火"
"","","","７人","","死亡"
"","","","国际文传电讯社","","报道"
"３１日凌晨","秋明州卡斯马卡瓦村一幢单层小木屋","","","","火灾"
"","","大火","","","扑灭"
"","在烧毁房屋中","","７具尸体","","发现"
"","","","","","火灾"
"","","","２名女性","","受伤"
"","","","","","调查"
"","","","","","火灾"
"","","３个天然气罐","","","爆炸"
"３月５日","索非亚","","新华网","","电"
"５日清晨","伊连齐商城一个销售厅","","","","火灾"
"目前","","","没有人员","","报道"
"","","","陈建军","","介绍"
"当地时间８时左右","","大火","","","发现"
"当时","市场","","许多商户","","来到"
"","","","","","营业"
"截至当地时间１２时","","大火","","","扑灭"
"","市场周边","交通管制","","","解除"
"","","整个市场","","","停业"
"","","损失情况","","","统计"
"","","","受灾商户","","介绍"
"","在销售厅内","货物","他一家","","存放"
"","","","伊万・伊利耶夫","","介绍"
"","","３辆消防车","消防部门","","派"
"","现场","","","","赶到"
"","","","","","灭火"
"","市场内","供水系统","","","出现"
"","","更多消防车","","","增派"
"","","","","","支援"
"","附近","水","","","接"
"","","","","","灭火"
"","","","伊利耶夫","","说"
"目前","","人员伤亡情况","","","清楚"
"","","","消防部门","","配合"
"","","大火","","","扑灭"
"","","火灾原因","","","调查"
"","现场","","陈岚、商务参赞陆永明等使馆人员","","赶赴"
"","","情况","","","了解"
"","","","保方","","交涉"
"","","组织灭火","","","协助"
"","","善后工作","","","安排"
"29日下午4时许","八里街第三工业园区里的一间塑料厂成品仓库","","","","火灾"
"","","大量塑料编织袋","","","起火"
"","","滚滚浓烟","","","冒起"
"","","","消防、民警","","赶到"
"","","","群众","","疏散"
"","","","","","救火"
"到当晚9时许","","火势","","","控制"
"","","","人员","","伤亡"
"截至30日晚记者发稿时","","起火原因","","","调查"
"","","","本报","","讯"
"目前","","兰坪拉古村委会“12・2”大火","","","扑灭"
"","","安置工作","受灾农户","","开展"
"","","吃、穿、住","受灾群众","","保障"
"","","火灾原因","","","调查"
"2日18时25分","怒江傈僳族自治州兰坪白族普米族自治县营盘镇拉古村委会三组和四组交界处","","","","火灾"
"","","72户280间房屋","","","烧毁"
"","","","370余人","","受灾"
"","","应急预案","怒江州、兰坪县","","启动"
"","","","事故处置领导小组","","成立"
"","","救灾应急资金和物资","","","下拨"
"","","","人员","","组织"
"","现场","","","","赶赴"
"","","善后处置工作","","","开展"
"2014年1月2日14时许","城关区泰生大厦第30层","","","","火灾"
"","事故现场","","市政府袁占亭市长、胥波副市长、咸大明副市长","","赶赴"
"","","灭火救援工作","","","指导"
"","","事故现场会","袁占亭市长","","召开"
"","","会议","城关区政府主要领导及相关部门负责同志","","参加"
"","","以下要求：","袁占亭市长","","作了"
"","","","楼内人员","","疏散"
"","","安全","人员","","确保"
"","","楼层内的辅助设施","","","检查"
"","","次生事故","","","防止"
"","","","市政府","","成立"
"","","事故","","","调查"
"","","责任","相关人员","","追究"
"","","新闻发布会","","","召开"
"","","调查进展","","","通报"
"","人员密集场所和公共聚集场所","消防安全大检查","","","开展"
"","","","","","排查"
"","","各类事故隐患","","","整治"
"","","安全稳定","","","确保"
"2014年1月2日","兰州","","消防官兵","","处置"
"","顶部","泰生大厦","","","火灾"
"当日14时20分许","甘肃省兰州市张掖路的泰生大厦顶部","","","","火灾"
"","","","兰州消防","","调集"
"","","","","","前往"
"","","","","","救火"
"","","","","","了解"
"","","大火","人员","","伤亡"
"２月９日","北京","","新华网","","电"
"９日２０时２７分","北京市朝阳区东三环中央电视台新址园区在建的附属文化中心大楼工地","","","","火灾"
"","","火势","","","蔓延"
"至当日２２时３０分","","大火","","","燃烧"
"","","火势","","","减弱"
"目前","","","人员伤亡","","报告"
"","","","北京市新闻办","","通报"
"","","报警","北京市１１９指挥中心","","接到"
"","","５４辆消防车","１６个中队","","调派"
"","现场","","","","赶赴"
"","","应急预案","北京市委、市政府","","启动"
"","现场","应急指挥中心","","","设置"
"","现场","","消防、武警、民警","","赶赴"
"","","","周边群众","","疏散"
"","","大火","","","扑救"
"","现场","","中共中央政治局委员、北京市委书记刘淇，中共中央政治局委员、中宣部部长刘云山，北京市委副书记、市长郭金龙，中央电视台台长赵化勇","","赶赴"
"","","扑救","","","指挥"
"","火灾现场周边的东三环、朝阳路","交通管制","","","实施"
"","","","目击者","","称"
"２０时许","央视新大楼附近","焰火","","","燃放"
"","京广桥附近","","一些群众","","观看"
"至２０时３０分许","北配楼顶部","火光","","","出现"
"截至２２时４５分","","火势","","","减弱"
"","","","大部分围观群众","","疏散"
"","","","北京市公安局官方微博“平安北京”","","消息"
"昨日凌晨2时","小武基村火灾现场","","警方","","找到"
"目前","","","","","火灾"
"","","","12人","","死亡"
"11月19日20时30分","北京市朝阳区小武基村","一库房","","","着火"
"","","","北京市公安局","","调集"
"","","54辆消防车","","","赶赴"
"","","","","","灭火"
"","","","警方","","控制"
"","","起火原因","","","调查"
"六月十四日","北京","","中新社","","电"
"十四日凌晨","北京市西单购物中心","","","","火灾"
"","","","未有人员","","伤亡"
"十四日凌晨一时四十五分左右","","","","","火灾"
"","","","北京市一一九消防指挥中心","","接到报警"
"","","四十部消防车","二百六十名官兵","","调派"
"","现场","","","","赶赴"
"","","","","","扑救"
"凌晨二时四十五分左右","","明火","","","扑灭"
"","","","","","了解"
"","西单购物中心一楼","商铺","","","毁"
"","现场","","消防部门","","赶赴"
"","商场内","","七十九名值班工作人员","","疏散"
"十四日上午","西单购物中心外围","警戒线","","","拉起"
"","","整个购务中心一、二层","","绿色布围","围"
"","中心临街","多个小商铺","","","大门紧闭"
"4月19日","南京","","人民网","","电"
"今日10时20分左右","","中环国际大厦空调外机井","","","着火"
"11时42分","","明火","","","扑灭"
"","","","南京市政府办公厅","","说"
"","","","","","伤亡"
"","","","南京市消防支队","","传警"
"","","37辆消防车","鼓楼、侯家桥等10个消防中队和战勤保障大队","","调集"
"","现场","","","","赶赴"
"","","","救援力量","","到场"
"","","火情","","","侦察"
"","","设施","","","启动"
"","","16个作战小组","","","组织"
"","各楼层","","","","深入"
"","","","被困人员","","疏散"
"","","","","消火栓","灭火"
"11时20分","","火势","","","控制"
"11时42分","","明火","","","扑灭"
"","","","","","火灾"
"","现场","","南京市政府秘书长魏克、江苏省公安厅副厅长王琦、江苏省消防总队总队长牛跃光","","赶到"
"","","工作","","","指挥"
"","","","","","调查"
"","建筑内","","消防官兵","","疏散"
"","","","","","伤亡"
"目前","","火灾原因","","","调查"
"","","","现代快报","","快讯"
"","现场","三声爆炸","马晶晶","","听到"
"","兴隆大街","","一小作坊","","火灾"
"","","火势","","","控制"
"","","鞭炮声","","","传出"
"11时26分","建邺区兴隆大街80号","","一民房","","失火"
"","","","消防部门","","接警"
"","","","兴隆、特一、汉中门共3个消防中队","","调集"
"","现场","","","","赶赴"
"目前","现场","明火","","","扑灭"
"","","","消防官兵","","清理"
"","","","","","伤亡"
"4月25日下午","南宁市兴宁路步行街上的190号三楼一民房","","","","起火"
"","","火势","","","蔓延"
"","","十几间房子","","","吞噬"
"","","","数百人","","疏散"
"一个半小时","","","150多人","","奋战"
"","","大火","","","扑灭"
"","","","","","火灾"
